record_id,symbol,date,year,body,vote_type,seq,iso3,country,vote
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,7,GRC,GREECE,A
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,8,IND,INDIA,Y
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,9,LBN,LEBANON,Y
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,10,PAK,PAKISTAN,Y
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,11,POL,POLAND,Y
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,12,SWE,SWEDEN,N
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,13,UKR,UKRAINIAN SSR,Y
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,14,SUN,USSR,Y
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,15,GBR,UNITED KINGDOM,N
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,16,USA,UNITED STATES,N
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,17,URY,URUGUAY,Y
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,18,YUG,YUGOSLAVIA,Y
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,N
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,N
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,3,CHL,CHILE,Y
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,4,CHN,CHINA,Y
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,5,EGY,EGYPT,Y
